Age,Condition,Date,Drug,DrugId,EaseofUse,Effectiveness,Satisfaction,Sex,Sides,UsefulCount
13-18,Major Depressive Disorder,06-10-2010,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",3
35-44,Depression,06-09-2010,lexapro,63990,5,4,4,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",15
35-44,Major Depressive Disorder,06-09-2010,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",2
55-64,Repeated Episodes of Anxiety,06-09-2010,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",4
55-64,Major Depressive Disorder,06-06-2010,lexapro,63990,5,5,4,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
25-34,Major Depressive Disorder,06-05-2010,lexapro,63990,5,4,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
45-54,Depression,06-05-2010,lexapro,63990,5,4,5,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",8
25-34,Repeated Episodes of Anxiety,06-05-2010,lexapro,63990,3,1,1,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",4
35-44,Repeated Episodes of Anxiety,06-04-2010,lexapro,63990,4,1,1,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",7
65-74,Repeated Episodes of Anxiety,06-03-2010,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0
35-44,Major Depressive Disorder,06-03-2010,lexapro,63990,1,1,1,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0
25-34,Major Depressive Disorder,06-03-2010,lexapro,63990,4,2,2,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0
75 or over,Depression,06-02-2010,lexapro,63990,4,4,4,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",2
35-44,Bipolar Depression,06-02-2010,lexapro,63990,5,5,5,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
13-18,Repeated Episodes of Anxiety,06-02-2010,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",3
55-64,Depression,06-02-2010,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",17
25-34,Panic Disorder,06-01-2010,lexapro,63990,3,3,2,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",2
35-44,"""Change of Life"" Signs",06-01-2010,lexapro,63990,5,5,3,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",3
25-34,Posttraumatic Stress Syndrome,06-01-2010,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0
45-54,Depression,5/31/2010,lexapro,63990,4,3,3,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",12
35-44,Depression,5/30/2010,lexapro,63990,1,1,1, ,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",15
55-64,Bipolar Depression,5/30/2010,lexapro,63990,4,4,3,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",2
55-64,Posttraumatic Stress Syndrome,5/30/2010,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",5
65-74,Depression,5/30/2010,lexapro,63990,3,3,4,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
25-34,Depression,5/29/2010,lexapro,63990,5,4,4,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",8
13-18,Major Depressive Disorder,5/28/2010,lexapro,63990,5,2,2,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0
45-54,Other,5/27/2010,lexapro,63990,4,4,4,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
25-34,Depression,5/25/2010,lexapro,63990,5,5,4,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",8
35-44,Depression,5/25/2010,lexapro,63990,3,5,4,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",12
75 or over,Major Depressive Disorder,5/25/2010,lexapro,63990,1,1,1,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0
35-44,Depression,5/24/2010,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",9
55-64,Major Depressive Disorder,5/24/2010,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
25-34,Major Depressive Disorder,5/23/2010,lexapro,63990,4,4,3,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
25-34,Repeated Episodes of Anxiety,5/23/2010,lexapro,63990,5,1,1,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",2
19-24,Depression,5/21/2010,lexapro,63990,5,4,4,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",7
19-24,Depression,5/20/2010,lexapro,63990,5,4,3,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",9
 ,Depression,5/20/2010,lexapro,63990,5,4,3,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",12
55-64,Other,5/19/2010,lexapro,63990,5,3,3,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",2
19-24,Repeated Episodes of Anxiety,5/18/2010,lexapro,63990,4,3,1,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",4
35-44,Repeated Episodes of Anxiety,5/17/2010,lexapro,63990,5,4,4,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",4
35-44,Depression,5/17/2010,lexapro,63990,4,4,4,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",2
45-54,Depression,5/16/2010,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",12
19-24,Obsessive Compulsive Disorder,5/16/2010,lexapro,63990,5,4,4,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",9
55-64,Posttraumatic Stress Syndrome,5/16/2010,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",3
25-34,Repeated Episodes of Anxiety,5/16/2010,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",2
55-64,Other,5/14/2010,lexapro,63990,3,3,3,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0
45-54,Bipolar Depression,5/14/2010,lexapro,63990,5,4,3,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
25-34,Panic Disorder,5/13/2010,lexapro,63990,5,5,5,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",8
 ,Repeated Episodes of Anxiety,5/13/2010,lexapro,63990,5,2,1, ,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",4
 ,Obsessive Compulsive Disorder,5/13/2010,lexapro,63990,5,1,1, ,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",5
19-24,Depression,5/13/2010,lexapro,63990,1,1,1,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",6
55-64,Depression,05-12-2010,lexapro,63990,5,3,2,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",7
35-44,Repeated Episodes of Anxiety,05-12-2010,lexapro,63990,5,4,4,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",2
25-34,Depression,05-12-2010,lexapro,63990,4,3,3,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",9
35-44,Other,05-11-2010,lexapro,63990,5,5,4,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0
35-44,Panic Disorder,05-11-2010,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0
13-18,Panic Disorder,05-11-2010,lexapro,63990,5,3,4,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
35-44,Depression,05-11-2010,lexapro,63990,4,4,4,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
35-44,Repeated Episodes of Anxiety,05-11-2010,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0
45-54,Depression,05-10-2010,lexapro,63990,5,5,4,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",4
19-24,Other,05-10-2010,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
45-54,Bipolar Depression,05-09-2010,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
35-44,Depression,05-09-2010,lexapro,63990,5,5,5,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",6
35-44,Major Depressive Disorder,05-08-2010,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0
25-34,Depression,05-08-2010,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",3
25-34,Depression,05-07-2010,lexapro,63990,3,3,3,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",21
19-24,Major Depressive Disorder,05-07-2010,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0
13-18,Depression,05-06-2010,lexapro,63990,5,4,3,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",8
19-24,Posttraumatic Stress Syndrome,05-04-2010,lexapro,63990,2,4,4,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0
25-34,Panic Disorder,05-04-2010,lexapro,63990,5,1,1,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0
35-44,Panic Disorder,05-04-2010,lexapro,63990,1,1,1,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
25-34,Depression,05-04-2010,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",30
25-34,Depression,05-04-2010,lexapro,63990,5,5,4,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",20
13-18,Depression,05-04-2010,lexapro,63990,5,4,4,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
25-34,Repeated Episodes of Anxiety,05-03-2010,lexapro,63990,5,5,5,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",8
45-54,Depression,05-02-2010,lexapro,63990,5,4,4,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
55-64,Depression,05-01-2010,lexapro,63990,2,2,1,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",8
25-34,Repeated Episodes of Anxiety,4/28/2010,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",2
25-34,Bipolar Depression,4/28/2010,lexapro,63990,4,1,1,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
25-34,Depression,4/19/2010,lexapro,63990,5,3,3,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",6
25-34,Panic Disorder,06-01-2009,lexapro,63990,4,3,3,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
19-24,Depression,5/31/2009,lexapro,63990,5,4,4,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",9
35-44,Depression,5/31/2009,lexapro,63990,5,4,4,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",2
25-34,Depression,5/30/2009,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",6
55-64,Panic Disorder,5/30/2009,lexapro,63990,5,4,4,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
45-54,Major Depressive Disorder,5/30/2009,lexapro,63990,5,5,3,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0
65-74,Depression,5/30/2009,lexapro,63990,4,4,5,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0
25-34,Panic Disorder,5/30/2009,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",3
75 or over,Depression,5/30/2009,lexapro,63990,3,3,3,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",3
 ,Depression,5/28/2009,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",10
45-54,Repeated Episodes of Anxiety,5/28/2009,lexapro,63990,5,5,3,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",2
25-34,Depression,5/27/2009,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",8
65-74,Repeated Episodes of Anxiety,5/22/2009,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
19-24,Depression,5/18/2009,lexapro,63990,5,3,3,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",3
45-54,Depression,5/27/2009,lexapro,63990,5,5,3,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",7
35-44,Major Depressive Disorder,5/26/2009,lexapro,63990,5,4,3,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
25-34,Depression,5/26/2009,lexapro,63990,5,4,4,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",6
45-54,Depression,5/26/2009,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",12
25-34,Depression,5/25/2009,lexapro,63990,3,4,4,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",7
55-64,Depression,5/25/2009,lexapro,63990,5,4,4,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",10
45-54,"""Change of Life"" Signs",5/25/2009,lexapro,63990,5,2,1,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",2
45-54,Posttraumatic Stress Syndrome,5/24/2009,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
55-64,Bipolar Depression,5/24/2009,lexapro,63990,5,5,4,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",2
45-54,Bipolar Depression,5/24/2009,lexapro,63990,5,3,3,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",3
25-34,Depression,5/23/2009,lexapro,63990,3,4,1,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",11
25-34,Depression,5/23/2009,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",5
55-64,Repeated Episodes of Anxiety,5/22/2009,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
25-34,Other,5/22/2009,lexapro,63990,4,4,4,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",2
25-34,Repeated Episodes of Anxiety,5/22/2009,lexapro,63990,1,1,1,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
35-44,Other,5/21/2009,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",2
35-44,Depression,5/20/2009,lexapro,63990,2,3,1,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",12
45-54,Depression,5/20/2009,lexapro,63990,4,2,2,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",5
35-44,Depression,5/20/2009,lexapro,63990,1,1,1,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",4
35-44,Panic Disorder,5/19/2009,lexapro,63990,4,4,4,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
25-34,Repeated Episodes of Anxiety,5/19/2009,lexapro,63990,5,5,3,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
25-34,Obsessive Compulsive Disorder,5/19/2009,lexapro,63990,5,5,4,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",14
55-64,Bipolar Depression,5/19/2009,lexapro,63990,4,3,2,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",2
55-64,Bipolar Depression,5/19/2009,lexapro,63990,3,1,1,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
19-24,Depression,5/18/2009,lexapro,63990,5,3,3,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",2
19-24,Repeated Episodes of Anxiety,5/18/2009,lexapro,63990,5,5,3,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
25-34,Obsessive Compulsive Disorder,5/18/2009,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",8
45-54,Depression,5/18/2009,lexapro,63990,1,1,1,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0
45-54,Repeated Episodes of Anxiety,5/18/2009,lexapro,63990,1,4,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
25-34,Depression,5/16/2009,lexapro,63990,2,4,3,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",3
19-24,Repeated Episodes of Anxiety,5/16/2009,lexapro,63990,5,3,1,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",2
45-54,Depression,5/16/2009,lexapro,63990,5,3,3,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",2
35-44,Panic Disorder,5/15/2009,lexapro,63990,3,3,3,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0
19-24,Depression,5/15/2009,lexapro,63990,4,1,1,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
45-54,Posttraumatic Stress Syndrome,5/14/2009,lexapro,63990,4,2,2, ,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0
55-64,Depression,5/14/2009,lexapro,63990,4,4,4,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
25-34,Other,5/14/2009,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",4
35-44,Panic Disorder,5/14/2009,lexapro,63990,5,5,5,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",5
45-54,Repeated Episodes of Anxiety,5/13/2009,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0
45-54,Depression,4/25/2009,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
55-64,Depression,4/25/2009,lexapro,63990,4,1,1,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",2
19-24,Repeated Episodes of Anxiety,4/24/2009,lexapro,63990,5,5,3,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",5
25-34,Bipolar Depression,5/13/2009,lexapro,63990,5,5,5,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",7
35-44,Depression,5/13/2009,lexapro,63990,5,4,4,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",4
55-64,"""Change of Life"" Signs",5/13/2009,lexapro,63990,5,4,4,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
45-54,"""Change of Life"" Signs",05-12-2009,lexapro,63990,5,4,4,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",6
35-44,Depression,05-11-2009,lexapro,63990,1,1,1,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",8
